Tamanho da matriz;Tempo DGEMM normal;Tempo DGEMM AVX; Tempo DGEMM AVX + UNROLL
16777216;1809.876709;783.646973;608.015930
16777216;1817.431152;781.528870;608.402161
26214400;3515.208984;1518.935547;1181.909424
26214400;3506.781982;1513.332397;1180.539795
37748736;5634.253418;2539.409912;2054.492188
37748736;5619.544434;2537.471680;2056.864258
51380224;8990.723633;4017.966309;3269.072998
51380224;9047.262695;4036.094727;3274.174805
67108864;14688.286133;6146.166504;4883.808105
67108864;14667.235352;6144.818848;4882.291992
